Home,HxG,Score,AxG,Away,HPoss,APoss,HPass,APass,HSoT,ASoT,Hsave,ASave,HPlayer1,HPlayer2,HPlayer3,APlayer1,APlayer2,APlayer3,HRank,ARank,HKP,AKP,HxA,AxA,H1/3,A1/3,HProg,AProg
Sevilla es,2.4,1–0,0.1,fr Rennes,65,35,84,73,7,2,2,6,8.8,8.5,7.8,8.2,6.9,6.9,8,75,22,1,2.4,0,33,10,32,8
Ferencváros hu,0.8,2–2,1.7,ua Dynamo Kyiv,51,49,86,85,4,2,1,2,7.5,7.3,7.1,7.6,7.1,7.1,113,32,12,4,0.4,0.4,30,21,36,21
Juventus it,0.4,0–2,2,es Barcelona,42,58,88,89,0,3,2,0,7.4,7.2,7,8.7,7.4,7.3,3,2,7,9,0.2,1,35,42,31,28
Shakhtar ua,0.5,0–6,2.3,de M'Gladbach,52,48,88,84,1,10,5,1,6.8,6.7,6.7,10,8.3,7.7,17,47,2,16,0.1,1.6,30,21,27,30
Loko Moscow ru,0.9,1–1,1.1,es Atlético Madrid,36,64,76,83,0,4,3,0,7.6,7,6.9,7.5,7.4,7.3,51,5,3,12,0.1,0.9,14,64,22,64
Porto pt,2.3,3–0,1,fr Marseille,40,60,76,82,3,0,0,1,8.9,7.6,7.2,7,6.7,6.6,14,55,3,4,1.3,0.1,9,23,21,34
Manchester City eng,2,3–0,0.4,gr Olympiacos,58,42,88,86,7,1,1,4,8.2,7.9,7.7,7.2,6.8,6.8,6,37,18,3,2.1,0.2,47,15,41,14
RB Salzburg at,1.8,2–6,2.6,de Bayern Munich,40,60,73,83,10,8,4,8,7.7,7.4,7,8.6,8.4,8.2,22,1,13,16,1.3,1.6,27,38,29,55
Midtjylland dk,0.7,1–2,0.5,nl Ajax,44,56,70,78,4,4,2,3,7.1,7,7,8.1,7.4,7.4,112,19,6,4,0.6,0.4,26,13,33,33
Real Madrid es,1.9,3–2,0.9,it Inter,55,45,85,82,7,3,1,4,7.5,7.5,7.5,8.5,7.4,7,4,25,10,8,0.9,0.8,29,25,24,38
Atalanta it,1,0–5,2.9,eng Liverpool,44,56,80,86,6,12,7,6,7.6,7.4,7,9,8.4,8.3,26,10,9,14,1,2.8,27,39,36,43
Başakşehir tr,0.8,2–1,0.7,eng Manchester Utd,32,68,75,86,3,2,1,1,7.7,7.6,7.4,7.7,7.1,7,59,9,6,7,0.7,0.4,8,71,12,66
Zenit ru,1,1–1,0.8,it Lazio,48,52,79,83,2,3,2,1,7.3,7.2,6.9,8.2,7.7,7.4,27,31,5,8,0.8,0.4,32,30,34,31
